                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.29014,                0.19407,                0.81765,                0.98704,                0.96353,                 0.9881,                0.86892,                0.61319,                0.31215,                0.99142,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     84,                0.28592,                0.19138,                0.81895,                0.99049,                 0.9607,                0.98817,                 0.8676,                0.61447,                0.31182,                0.99308,             7.8933e-05,             7.8933e-05,             7.8933e-05
                     85,                0.28358,                0.18955,                0.81808,                 0.9865,                0.96341,                0.98731,                 0.8668,                0.61658,                0.31661,                0.99481,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     86,                0.28855,                0.19376,                0.81955,                0.98299,                0.96456,                0.98662,                0.86608,                 0.6188,                0.32167,                0.99707,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     87,                0.28052,                0.19366,                0.81762,                0.98836,                 0.9609,                0.98761,                 0.8674,                0.61841,                0.31614,                0.99731,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     88,                0.28067,                0.19015,                0.81167,                0.99139,                0.96082,                0.98779,                0.86683,                0.61666,                0.31525,                0.99693,             5.0711e-05,             5.0711e-05,             5.0711e-05
                     89,                0.28221,                0.19225,                0.81451,                 0.9911,                0.96046,                0.98836,                0.86728,                 0.6179,                0.31144,                0.99826,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     90,                0.28142,                 0.1858,                0.81481,                0.98668,                0.96353,                0.98897,                0.86925,                0.61805,                0.31351,                0.99643,             3.9264e-05,             3.9264e-05,             3.9264e-05
                     91,                 0.2813,                0.18802,                0.81587,                0.99228,                0.95985,                0.98816,                0.86769,                0.61939,                0.31229,                0.99802,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     92,                0.27626,                0.18808,                0.81233,                0.98994,                 0.9609,                0.98798,                0.86715,                0.61842,                0.31332,                0.99694,             2.9655e-05,             2.9655e-05,             2.9655e-05
                     93,                0.27434,                0.18376,                 0.8126,                 0.9887,                0.96133,                0.98769,                0.86765,                0.61965,                 0.3179,                0.99762,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     94,                0.28434,                 0.1872,                0.81692,                0.98834,                0.96178,                0.98793,                0.86798,                0.61982,                0.31701,                0.99824,             2.1921e-05,             2.1921e-05,             2.1921e-05
                     95,                0.27072,                0.18402,                0.81032,                0.99017,                0.96002,                0.98772,                 0.8681,                0.62033,                0.31672,                0.99911,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     96,                0.27433,                0.18188,                0.81386,                0.98992,                0.95958,                0.98663,                0.86726,                0.61923,                0.31796,                0.99871,             1.6094e-05,             1.6094e-05,             1.6094e-05
                     97,                0.27283,                0.18354,                 0.8155,                0.98959,                0.95914,                0.98629,                0.86668,                0.61885,                 0.3184,                0.99853,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     98,                 0.2806,                 0.1878,                0.81505,                0.98975,                0.95914,                0.98706,                0.86676,                0.61926,                0.31878,                0.99929,             1.2197e-05,             1.2197e-05,             1.2197e-05
                     99,                0.27672,                0.18504,                0.81868,                0.98989,                0.95958,                0.98761,                 0.8667,                0.61889,                0.31818,                0.99947,             1.0977e-05,             1.0977e-05,             1.0977e-05
