                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 0.3156,                0.13809,                      0,                0.22293,                0.82079,                0.98141,                0.95081,                0.97994,                 0.8404,                0.96573,                0.95342,                0.96971,                0.90671,                0.64403,                0.33119,                      0,                0.36014,                0.99402,             0.00022677,             0.00022677,             0.00022677
                     71,                0.31287,                0.12763,                      0,                0.22156,                0.82324,                0.97833,                0.95227,                0.97922,                0.84418,                0.97021,                0.94436,                0.96703,                 0.9024,                0.64147,                0.34222,                      0,                0.35708,                0.99054,             0.00021405,             0.00021405,             0.00021405
                     72,                 0.3118,                 0.1323,                      0,                0.21867,                 0.8258,                0.98039,                0.95343,                0.97967,                0.84517,                0.97372,                0.94728,                0.97019,                 0.9034,                0.63889,                0.34103,                      0,                0.35659,                0.98645,             0.00020161,             0.00020161,             0.00020161
                     73,                0.30601,                0.10442,                      0,                0.21247,                0.81903,                0.98214,                0.95079,                0.98122,                0.84266,                0.97578,                0.94464,                0.97226,                0.90637,                0.64384,                0.32508,                      0,                0.34555,                0.98945,             0.00018948,             0.00018948,             0.00018948
                     74,                0.31124,                 0.1097,                      0,                0.22074,                0.82542,                0.98357,                0.94903,                 0.9782,                0.84176,                0.97853,                 0.9442,                0.97135,                0.90505,                0.63987,                0.32815,                      0,                0.35479,                0.99265,             0.00017765,             0.00017765,             0.00017765
                     75,                0.29921,                0.12351,                      0,                0.21006,                0.81869,                0.97615,                0.95294,                0.97937,                0.84687,                0.97088,                0.94859,                0.97254,                0.90886,                0.64014,                0.33231,                      0,                0.35326,                 0.9888,             0.00016615,             0.00016615,             0.00016615
                     76,                0.30177,                0.13121,                      0,                0.20958,                0.81881,                0.98307,                0.94404,                 0.9777,                0.84324,                0.97101,                0.94069,                 0.9683,                0.90529,                0.63721,                0.33728,                      0,                0.35435,                0.98731,             0.00015498,             0.00015498,             0.00015498
                     77,                  0.298,                0.13792,                      0,                0.21066,                0.82351,                0.97547,                0.94728,                0.97767,                0.84412,                0.96914,                0.94112,                0.96905,                 0.8991,                0.63837,                0.33885,                      0,                0.35905,                0.98687,             0.00014416,             0.00014416,             0.00014416
                     78,                0.29583,                0.10677,                      0,                0.20721,                0.81926,                0.98013,                0.94508,                0.97781,                0.84648,                0.97762,                0.94244,                0.97426,                0.90902,                0.64199,                0.32856,                      0,                0.35611,                0.99263,              0.0001337,              0.0001337,              0.0001337
                     79,                0.30477,                 0.1355,                      0,                0.21261,                0.82218,                0.98029,                0.94815,                0.97816,                0.84582,                0.97594,                0.94508,                0.97333,                0.91234,                0.64148,                0.32422,                      0,                0.35618,                0.99313,              0.0001236,              0.0001236,              0.0001236
