                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.37853,                0.07594,                0.02754,                0.26888,                0.84713,                0.95466,                0.85301,                0.91434,                0.74037,                 0.9374,                0.83752,                0.88505,                0.80928,                0.80668,                  0.473,                0.00609,                0.59308,                 1.0812,             0.00087112,             0.00087112,             0.00087112
                     50,                0.38527,                0.07995,                0.02514,                0.26739,                0.85062,                0.96501,                0.79527,                0.87699,                0.71696,                 0.9457,                0.77753,                 0.8467,                 0.7794,                 0.7996,                0.53009,                0.01038,                 0.7346,                 1.0944,             0.00086584,             0.00086584,             0.00086584
                     51,                0.38701,                 0.0955,                0.02871,                0.26823,                0.85114,                0.95928,                0.82577,                0.89573,                0.72985,                0.94378,                0.80945,                0.86469,                0.79493,                0.80288,                0.47282,                0.00824,                 0.6419,                 1.0858,             0.00086047,             0.00086047,             0.00086047
                     52,                0.38069,                0.08011,                0.02025,                0.26768,                0.84387,                0.96324,                0.81954,                0.89591,                0.73283,                0.93696,                0.80168,                0.86047,                0.79357,                  0.777,                0.48699,                0.00903,                0.62801,                 1.0741,             0.00085502,             0.00085502,             0.00085502
                     53,                0.38116,                0.07194,                0.02833,                0.27224,                0.84876,                0.96222,                0.84202,                0.91306,                0.76179,                0.94688,                 0.8286,                0.88553,                0.82795,                0.76309,                0.45672,                0.01128,                0.63673,                 1.0598,             0.00084948,             0.00084948,             0.00084948
                     54,                0.36432,                 0.0809,                0.02329,                0.25836,                0.84015,                0.96385,                0.84822,                 0.9058,                0.73793,                0.94541,                0.82998,                0.87113,                0.80548,                 0.7837,                0.46988,                  0.007,                0.60775,                 1.0781,             0.00084385,             0.00084385,             0.00084385
                     55,                0.37478,                0.07407,                0.02658,                0.25909,                0.84312,                0.97062,                0.83751,                0.90062,                0.73489,                0.95244,                0.82202,                0.86931,                0.80146,                 0.7865,                0.46312,                0.01203,                0.60306,                 1.0779,             0.00083814,             0.00083814,             0.00083814
                     56,                0.35858,                0.07033,                0.02102,                0.25242,                0.82783,                0.95904,                0.79045,                0.88085,                0.72919,                0.94132,                0.77761,                0.85428,                0.79334,                0.80165,                0.50785,                0.01327,                0.77117,                 1.0785,             0.00083235,             0.00083235,             0.00083235
                     57,                0.36602,                0.10111,                0.03016,                0.25859,                 0.8349,                0.96928,                0.84715,                0.91746,                0.75631,                0.95253,                0.83297,                0.89231,                0.82974,                 0.7952,                0.44883,                0.00789,                0.57391,                 1.0856,             0.00082648,             0.00082648,             0.00082648
                     58,                0.37887,                 0.0718,                0.02221,                0.26091,                 0.8413,                 0.9724,                0.86503,                0.92596,                0.76771,                0.95047,                0.84539,                0.89244,                0.83373,                0.76629,                0.46368,                0.00917,                0.56123,                  1.057,             0.00082052,             0.00082052,             0.00082052
                     59,                0.36053,                 0.0854,                0.01616,                0.25169,                0.84079,                0.95926,                0.82525,                0.91015,                0.75779,                0.94383,                0.81258,                0.88624,                0.82993,                0.77311,                0.43163,                0.00836,                0.67001,                   1.06,              0.0008145,              0.0008145,              0.0008145
