                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.34041,                0.23265,                0.82959,                0.95561,                0.83172,                0.90669,                  0.754,                 0.7531,                0.61394,                 1.0583,             0.00071576,             0.00071576,             0.00071576
                     75,                0.33933,                0.22825,                0.83402,                 0.9734,                0.84937,                0.92845,                0.77508,                0.75522,                 0.5597,                 1.0567,              0.0007087,              0.0007087,              0.0007087
                     76,                0.34318,                0.22765,                0.82737,                0.95783,                0.82992,                 0.9103,                0.76174,                0.75219,                0.59777,                  1.059,             0.00070159,             0.00070159,             0.00070159
                     77,                0.34216,                0.22736,                 0.8271,                0.96764,                0.82923,                0.91558,                0.76338,                 0.7576,                 0.5972,                 1.0548,             0.00069443,             0.00069443,             0.00069443
                     78,                0.34681,                0.23143,                0.83417,                0.95803,                 0.8352,                0.91617,                 0.7629,                0.75554,                0.60671,                 1.0562,             0.00068722,             0.00068722,             0.00068722
                     79,                0.33829,                0.23112,                0.83047,                0.95719,                0.84862,                0.91801,                0.76459,                0.75956,                0.60073,                  1.057,             0.00067997,             0.00067997,             0.00067997
                     80,                0.33988,                0.22713,                0.82798,                0.96047,                0.84563,                0.92176,                0.77045,                0.76317,                 0.6146,                 1.0626,             0.00067268,             0.00067268,             0.00067268
                     81,                0.33656,                0.22464,                0.82304,                0.96484,                0.83271,                0.91475,                0.76358,                0.74832,                0.59382,                 1.0548,             0.00066534,             0.00066534,             0.00066534
                     82,                0.33997,                0.22782,                0.82484,                0.95751,                0.84166,                0.91238,                0.76019,                0.75349,                0.58968,                 1.0544,             0.00065796,             0.00065796,             0.00065796
                     83,                0.33987,                0.22778,                0.82949,                 0.9647,                 0.8424,                 0.9124,                0.75971,                0.75219,                0.59161,                 1.0571,             0.00065055,             0.00065055,             0.00065055
                     84,                0.33649,                0.22323,                0.82335,                 0.9669,                0.84235,                0.91264,                0.76187,                0.75626,                0.59298,                 1.0529,              0.0006431,              0.0006431,              0.0006431
                     85,                0.32105,                 0.2174,                0.82413,                0.96132,                0.83271,                0.91354,                0.76425,                 0.7524,                0.60408,                 1.0517,             0.00063562,             0.00063562,             0.00063562
                     86,                0.32537,                0.22008,                0.82007,                0.96954,                0.83843,                0.92108,                0.76985,                0.74666,                0.57114,                 1.0482,              0.0006281,              0.0006281,              0.0006281
                     87,                0.32953,                0.21935,                0.82197,                0.96249,                0.85011,                0.92346,                0.77139,                0.75181,                0.57792,                 1.0552,             0.00062056,             0.00062056,             0.00062056
                     88,                0.31475,                0.21338,                0.81793,                0.96683,                0.83868,                0.91957,                0.76847,                0.76673,                0.61184,                 1.0599,             0.00061298,             0.00061298,             0.00061298
                     89,                0.32674,                0.21468,                0.82417,                0.96295,                0.85036,                0.92238,                0.76741,                0.76952,                0.57747,                 1.0624,             0.00060538,             0.00060538,             0.00060538
                     90,                0.31605,                 0.2129,                0.81613,                0.94938,                0.84375,                0.91465,                 0.7633,                0.75795,                0.57846,                 1.0539,             0.00059775,             0.00059775,             0.00059775
                     91,                 0.3222,                0.21072,                0.81389,                0.96338,                0.85235,                0.92009,                0.76814,                0.75512,                0.56432,                   1.05,              0.0005901,              0.0005901,              0.0005901
                     92,                0.32202,                0.21508,                0.81454,                0.96251,                0.84067,                0.91827,                0.77012,                0.74861,                0.58819,                 1.0493,             0.00058244,             0.00058244,             0.00058244
