                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 0.3225,                0.14054,                      0,                0.22992,                0.81547,                0.98393,                0.97276,                0.99189,                0.88127,                 0.9746,                0.96353,                  0.978,                0.91734,                 0.5349,                0.30995,                      0,                0.29529,                0.91743,              0.0006431,              0.0006431,              0.0006431
                     43,                0.33606,                 0.1698,                      0,                0.23797,                0.82358,                0.98833,                0.96785,                0.99267,                0.88421,                 0.9843,                 0.9639,                0.98516,                0.94641,                0.54476,                0.24951,                      0,                0.29178,                0.92783,              0.0006281,              0.0006281,              0.0006281
                     44,                0.32355,                0.14334,                      0,                0.23345,                0.80862,                 0.9905,                0.96177,                0.98887,                0.87987,                0.98284,                0.95475,                0.97733,                0.92896,                0.52878,                0.26475,                      0,                0.29955,                0.91258,             0.00061298,             0.00061298,             0.00061298
                     45,                0.32614,                0.15883,                      0,                0.23519,                0.81615,                0.98401,                0.97357,                0.99341,                0.87828,                0.98046,                0.97006,                0.98795,                0.94442,                0.54097,                0.24254,                      0,                0.29019,                0.92066,             0.00059775,             0.00059775,             0.00059775
                     46,                0.32067,                0.13806,                      0,                0.22507,                0.81077,                0.98392,                0.96837,                0.99191,                0.88547,                0.97721,                0.96178,                0.98422,                0.93154,                0.54134,                0.29072,                      0,                0.29798,                0.91718,             0.00058244,             0.00058244,             0.00058244
                     47,                0.31464,                0.13106,                      0,                0.23005,                0.81001,                0.98106,                 0.9784,                 0.9923,                0.88492,                0.97974,                0.97752,                 0.9913,                0.94789,                0.54566,                 0.2468,                      0,                0.28728,                0.92693,             0.00056704,             0.00056704,             0.00056704
                     48,                 0.3099,                0.14217,                      0,                0.22052,                0.80935,                0.98545,                0.97408,                0.99379,                 0.8823,                0.98087,                0.97144,                0.98896,                0.93707,                0.54825,                0.25387,                      0,                0.28497,                0.92768,             0.00055158,             0.00055158,             0.00055158
                     49,                0.31449,                0.12851,                      0,                0.22467,                0.81363,                0.98283,                0.96265,                  0.989,                 0.8847,                0.97758,                0.95792,                0.98241,                0.93542,                0.54329,                0.27642,                      0,                0.29873,                0.93309,             0.00053608,             0.00053608,             0.00053608
                     50,                0.30949,                0.11513,                      0,                0.22198,                0.80702,                0.98973,                0.96837,                0.99081,                 0.8815,                0.98613,                0.96485,                 0.9866,                0.94364,                0.55027,                0.25834,                      0,                0.29241,                0.92381,             0.00052055,             0.00052055,             0.00052055
                     51,                0.30675,                0.14136,                      0,                0.21739,                0.81215,                0.97936,                0.97012,                0.99162,                0.88696,                0.97796,                 0.9688,                0.98952,                0.94852,                0.53905,                0.24839,                      0,                0.28487,                0.92749,               0.000505,               0.000505,               0.000505
                     52,                0.30232,                0.12659,                      0,                0.21982,                0.81104,                 0.9946,                0.97173,                0.99334,                0.89088,                0.99003,                0.97056,                0.98847,                0.94751,                0.53308,                0.23156,                      0,                0.27799,                0.91352,             0.00048945,             0.00048945,             0.00048945
                     53,                0.30156,                0.12358,                      0,                0.21445,                0.81333,                0.98923,                0.96814,                0.99035,                0.88514,                0.98514,                0.96485,                0.98533,                0.93817,                0.53648,                0.25747,                      0,                0.28475,                0.92801,             0.00047392,             0.00047392,             0.00047392
                     54,                0.29401,                0.12655,                      0,                0.20939,                 0.8051,                0.98611,                0.96703,                0.98964,                0.88852,                0.98256,                0.96533,                0.98447,                0.94393,                 0.5304,                0.23678,                      0,                0.28597,                0.92695,             0.00045842,             0.00045842,             0.00045842
                     55,                0.30337,                0.15002,                      0,                0.21799,                0.80597,                0.99443,                0.96573,                0.99287,                 0.8865,                0.98099,                0.97276,                0.98804,                0.93738,                0.53766,                 0.2519,                      0,                0.27755,                0.92314,             0.00044296,             0.00044296,             0.00044296
                     56,                0.29914,                0.11161,                      0,                0.21737,                0.81152,                0.98505,                0.96837,                0.99036,                0.88731,                0.98146,                0.96485,                0.98664,                0.94127,                0.53478,                0.25089,                      0,                0.28252,                0.92408,             0.00042756,             0.00042756,             0.00042756
                     57,                0.29566,                0.11814,                      0,                0.20815,                0.80709,                0.98878,                0.96661,                0.99077,                0.88762,                0.98653,                0.96441,                0.98798,                0.94137,                0.53204,                0.25996,                      0,                0.28507,                 0.9229,             0.00041225,             0.00041225,             0.00041225
                     58,                0.29318,                0.13548,                      0,                0.20663,                0.80514,                0.98585,                0.97759,                0.99381,                0.89309,                0.98051,                0.97282,                0.98584,                0.94776,                0.52969,                 0.2443,                      0,                0.27145,                0.91631,             0.00039702,             0.00039702,             0.00039702
                     59,                0.28729,                0.11106,                      0,                0.20519,                0.80322,                0.98937,                0.97759,                0.99406,                0.89391,                0.98388,                0.97232,                0.98742,                0.94784,                0.53389,                  0.245,                      0,                0.27194,                0.91544,              0.0003819,              0.0003819,              0.0003819
                     60,                0.27777,                0.11916,                      0,                0.19568,                0.79835,                 0.9939,                0.96617,                 0.9915,                0.89145,                0.98612,                 0.9688,                0.98797,                0.94861,                0.53255,                0.23541,                      0,                0.26953,                0.92551,              0.0003669,              0.0003669,              0.0003669
                     61,                0.28403,                0.12693,                      0,                0.19602,                0.80428,                0.98966,                0.97364,                0.99195,                 0.8937,                0.98184,                0.97381,                0.98436,                0.95111,                0.52594,                0.22211,                      0,                0.26816,                0.91592,             0.00035204,             0.00035204,             0.00035204
                     62,                0.28568,                 0.1121,                      0,                0.19901,                0.80537,                0.98405,                0.97564,                0.99203,                0.89085,                0.98272,                0.97432,                0.98844,                  0.952,                0.52896,                0.22079,                      0,                 0.2708,                0.92126,             0.00033732,             0.00033732,             0.00033732
                     63,                0.27707,                0.11264,                      0,                0.19515,                0.79999,                 0.9845,                0.97696,                0.99292,                0.89357,                0.98172,                 0.9754,                0.98814,                0.95245,                0.53085,                0.23166,                      0,                0.27468,                0.91554,             0.00032278,             0.00032278,             0.00032278
